date,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht,/m/02v_8dy,/m/09jx2,/m/04n7dpf,/m/0g_fl,/m/01rd35,/m/016ldw,/g/11cks2gbc8,/m/0cvgr,/m/06bmj_x,/m/06lry,/m/0hbm6,/m/0drqp,/m/014dsx,/m/07s_c,/g/11bc57hf91,/m/01tzw5,/m/018m33,/g/121g16mn,/g/1216wtvp,/m/088p1q,/g/1236svz8,/m/0pb8nv_,/m/02r5p3,/m/05457c,/m/0218w7,/g/11w4h00ll9,/m/06bmj_y,/m/026gdg4,/m/09y23_,/m/01s_5,/m/01cf44,/m/0545k,/m/01cf0p,/m/0cs24,/m/0z_xz,/m/0d130,/m/0hdyy,/m/011d_9rh,/m/04sng5,/m/0hhw8xd,/m/05nxj0,/m/0c40cq0,/m/06njd,/m/081zw_,/m/02vtq7g,/m/091tvr,/m/02r49f,/m/01406c,/m/04f0h,/m/020d7_,/g/1213tqm6,/m/0h7q5bz,/m/025t20m,/m/042px7,/m/017l39,/g/11cp7w3r6w,/g/11fsrblbyd,/m/03nw7w,/g/11lc9ltvgb,/g/11s7rb01fr,/g/120lq987,/m/079gm,/g/1q582vwlz,/g/120jfhdm_x,/m/032pvq,/m/033wy6,/g/11ln3kjm27,/g/11b651vsw1,/m/0nfn,/m/02wwvy,/m/02fq2b,/m/02jnsq,/g/11g6qj7lt6,/m/085n4,/g/11j8qrghwl,/m/02p2c9s,/g/11jg330g0l,/m/02jjns,/m/02w88k,/m/05kp2c,/m/01y3d8,/g/121jnq1m,/g/120jfhdm_y,/m/0p6bb,/m/018nf6,/m/09s5j9,/m/08f4gj,/m/0bg2p,/g/11c6tyq7nc,/g/11c2688p8j,/m/0ffnx,/m/02ywd,/g/11dxd44r6v,/m/04g3r,/m/06l8d,/m/09j2d,/m/0c_jw,/m/01l0mw,/m/06b49c,/g/11j8qrq5f4,/m/022hpx,/m/03glg,/m/0204sn,/g/11s7rbxtb8,/g/11g6qjtysh,/g/11h37v75l4,/m/02gsv,/m/0f3yyn,/m/079k8t,/m/03ggzf,/m/01hbs0,/m/01fss9,/m/018ct4,/m/029hyv,/m/02mnx9,/g/11bz0yd_jf,/m/01fp90,/g/1q6h_chms,/m/033gpp,/m/04g_71,/m/035czb,/m/04115t2,/g/120t97td,/g/11g_xxld32,/g/121hdyly,/m/02887sv,/g/11kbll0jmc,/g/11hdw7wpyv,/g/11j317sfyk,/g/11fsrbrqgk,/m/05y7_j,/m/01wq4b,/m/04qsq,/m/0_gyn88,/m/04rsd,/m/047m52,/m/05xxpj,/m/05zd8,/m/02vkbbf,/m/01fsrg,/m/014xsg,/m/0272pyx,/m/0f0jq,/m/0hkst,/m/05y_5p,/g/1235w5lb,/g/11j8qrbycd,/m/0968r1,/g/1213vf80,/m/025t89b,/m/05xxpw,/g/11c6t_253c,/m/0462swg,/g/12twkjsql,/g/11j317hdsz,/g/11c6t_549p,/g/11j317n2h0,/g/11fsrbpz7j,/g/11h4f8vzqz,/g/121lmsp6,/g/11g0kd3ygw
2012-01-01,54,0,77,53,46,0,15,26,68,55,0,0,0,59,28,64,99,57,22,0,0,55,0,0,22,0,0,0,0,0,0,59,0,0,12,0,54,0,0,69,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,7,77,0,0,26,0,0,0,0,37,0,0,74,0,0,0,21,0,87,0,0,8,1,0,20,23,59,62,86,0,0,60,35,47,0,0,0,50,0,0,44,0,68,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,64,58,31,0,0,3,42,25,0,0,12,0,0,46,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,92,0,88,63,52,0,24,33,60,50,0,0,0,100,25,52,100,56,31,0,0,74,0,0,24,0,0,0,0,0,0,100,0,0,16,0,0,0,0,83,0,0,100,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,6,80,0,0,24,0,0,0,0,34,0,0,72,0,0,0,23,0,76,0,0,7,1,0,15,22,62,57,91,0,0,31,30,47,0,0,0,30,0,0,0,0,100,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,76,88,0,100,0,3,47,65,0,0,16,0,0,67,0,2,0,22,80,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,100,0,69,52,45,0,24,34,51,57,0,0,0,0,20,66,92,56,26,0,0,87,0,0,27,0,0,0,0,0,0,0,0,0,10,0,48,0,0,75,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,100,0,0,0,0,0,0,0,0,0,0,5,70,0,0,25,0,0,0,0,29,0,0,69,0,0,0,26,0,85,0,0,13,1,0,24,20,58,68,86,42,0,37,47,50,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,23,52,0,0,0,0,0,0,0,0,80,63,0,0,0,3,48,38,0,0,10,0,0,39,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,91,0,76,51,42,0,18,47,58,55,0,0,0,52,26,78,65,56,24,0,100,76,0,0,23,0,0,0,0,0,0,52,0,0,12,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,4,51,0,0,25,0,0,0,0,26,0,0,60,0,0,0,24,35,68,0,0,14,1,0,18,22,60,66,85,0,0,42,38,63,0,0,0,22,0,0,0,0,94,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,100,37,75,0,0,0,3,39,47,0,0,18,0,0,32,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,91,0,77,61,44,0,22,41,58,56,0,0,0,36,28,72,68,58,30,0,0,72,0,0,26,0,0,0,0,0,0,36,0,0,11,0,0,0,0,0,0,0,51,63,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,6,66,0,0,26,0,0,0,0,33,0,0,71,0,0,0,24,0,92,0,0,10,1,0,16,18,64,72,87,0,0,43,35,62,0,0,0,42,0,0,0,0,72,0,0,0,0,0,0,0,0,28,58,0,0,0,0,0,0,0,0,45,75,0,0,40,3,53,39,0,0,25,0,0,52,0,2,0,29,59,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,88,0,64,54,50,0,15,36,59,38,0,0,0,0,37,72,60,54,16,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,47,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,5,54,0,0,25,0,0,0,0,33,0,0,67,0,0,0,24,40,80,0,0,9,1,0,16,20,57,59,88,34,0,71,39,63,0,0,0,34,0,0,0,0,0,0,0,72,0,0,0,0,0,19,57,100,0,0,0,0,0,0,0,67,64,0,0,0,3,49,45,0,0,15,0,0,47,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,68,0,65,51,53,0,20,39,54,44,0,0,0,0,47,63,56,51,22,0,0,69,0,0,18,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,5,68,0,0,24,0,0,0,0,29,0,0,65,0,0,0,26,0,82,0,0,10,1,0,17,22,60,62,84,0,0,50,33,48,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,100,20,56,0,0,0,0,0,0,0,0,68,37,27,0,0,3,59,27,0,0,15,85,0,41,0,2,0,34,92,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,55,0,62,45,51,0,14,33,59,41,0,0,0,0,26,81,51,61,18,0,0,61,0,0,19,0,0,0,0,100,0,0,0,0,8,0,0,0,0,0,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,44,0,0,0,0,0,0,0,5,62,0,0,23,0,0,0,0,30,0,0,57,0,0,0,26,0,75,0,0,11,1,0,22,22,65,62,86,53,0,43,29,41,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,16,55,0,0,0,0,0,0,0,0,57,53,28,0,31,4,53,51,0,0,11,0,0,31,0,3,0,22,0,94,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,58,0,55,43,53,0,13,36,54,0,0,0,0,0,36,74,81,58,21,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,8,54,0,0,24,0,0,0,0,32,0,0,63,0,0,0,24,0,77,0,0,9,1,0,15,22,62,67,87,0,0,54,27,56,0,0,0,31,0,0,0,0,67,0,0,0,72,0,0,0,0,0,62,0,0,0,0,0,0,0,0,51,49,47,0,0,4,55,44,0,0,13,0,0,27,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,53,0,52,44,62,0,15,36,53,0,0,0,0,0,25,55,61,58,21,0,0,62,0,100,17,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,5,53,0,0,23,0,0,0,0,31,0,0,64,0,0,0,27,0,84,0,0,9,1,0,23,21,63,65,92,0,0,52,26,41,0,0,0,32,0,0,0,0,83,0,0,0,74,0,0,0,0,0,61,0,0,0,0,0,0,0,0,45,41,26,0,0,4,59,35,0,0,11,0,0,38,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,55,0,84,48,49,100,15,39,59,0,0,0,0,0,40,55,44,59,34,90,0,59,0,0,13,0,0,0,0,0,0,0,0,0,14,0,0,0,0,44,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,3,52,0,0,21,0,0,0,0,31,0,0,64,0,0,0,25,48,85,0,0,9,1,100,18,23,66,68,84,29,0,50,34,46,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,53,77,35,0,0,4,57,31,0,0,17,0,0,36,0,2,0,25,63,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,47,0,45,39,48,0,17,34,50,43,0,0,0,0,28,59,44,53,16,0,0,58,0,0,15,0,0,0,0,0,0,0,0,0,12,0,0,0,100,39,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,3,40,0,0,21,0,0,0,0,28,0,0,57,0,0,0,25,28,76,0,0,9,0,0,16,25,60,69,81,0,0,47,23,48,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,22,53,0,0,0,0,0,0,0,0,52,56,23,0,0,4,43,32,0,0,14,75,0,36,0,3,0,18,0,0,0,0,0,0,100,0,0,0,0,0,0
2013-01-01,76,0,72,48,52,0,21,40,60,52,0,0,0,0,29,68,38,59,34,0,86,62,0,0,34,0,0,0,0,0,0,0,0,0,11,0,0,31,64,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,100,38,0,0,0,0,0,0,0,5,49,0,0,22,0,0,0,0,30,0,0,64,0,0,0,27,0,86,0,0,9,1,0,14,25,58,58,88,0,0,44,30,50,0,0,0,46,85,0,71,94,0,0,0,0,62,61,0,99,0,15,62,0,0,0,0,0,0,0,0,61,72,0,0,0,3,48,52,0,0,14,63,0,40,0,5,0,19,47,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,62,0,71,43,51,0,23,40,64,73,0,0,0,0,46,70,51,59,24,0,0,61,0,0,15,0,0,0,0,76,0,0,0,0,9,0,0,0,0,40,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,7,100,0,0,21,0,0,0,0,34,0,0,63,0,0,0,25,26,80,0,0,12,1,0,15,21,60,59,88,0,0,66,35,41,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,23,67,0,0,0,0,0,0,0,0,73,70,0,0,0,3,50,51,0,0,14,100,0,37,0,7,0,19,52,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,46,0,76,45,57,0,20,41,60,48,0,0,0,28,33,61,42,59,24,0,0,62,0,0,12,0,0,0,0,0,0,28,0,0,10,0,0,0,0,52,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,4,80,0,0,21,0,0,0,0,32,44,0,68,0,0,0,28,37,82,0,100,17,1,0,16,21,63,65,92,27,0,64,39,42,0,0,0,29,0,0,0,0,0,0,0,0,57,0,0,0,0,14,62,0,0,0,0,0,0,0,0,70,87,27,0,0,4,46,47,0,0,13,0,0,37,0,6,0,17,68,0,0,0,0,100,0,0,0,0,0,0,0
2013-04-01,51,0,65,46,42,0,17,44,56,30,0,0,0,29,26,67,48,59,18,0,0,55,0,0,13,0,0,0,0,0,0,29,0,0,8,0,0,0,0,37,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,3,47,0,100,22,0,0,0,0,30,0,0,59,0,0,0,27,0,72,0,0,20,1,0,23,21,63,59,87,0,0,48,25,53,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,46,91,0,0,0,4,39,34,0,0,7,0,0,37,0,8,0,19,41,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,60,0,68,52,50,0,26,42,58,56,0,0,0,42,39,80,56,56,24,0,0,58,0,0,22,0,0,0,0,0,0,42,0,0,11,0,37,0,0,46,0,95,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,5,51,0,0,19,0,0,0,0,29,0,0,65,0,0,0,28,35,75,0,0,20,1,0,10,23,63,59,84,0,0,53,27,46,0,0,0,27,0,0,0,0,0,0,0,0,0,65,0,0,0,21,60,0,0,0,0,0,0,0,0,66,84,0,0,20,4,48,41,0,0,12,61,65,43,0,10,0,26,63,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,50,0,78,47,52,0,13,41,57,62,0,0,0,36,19,59,53,55,25,0,0,63,0,0,11,0,0,0,0,0,0,36,0,0,13,0,34,0,0,43,0,0,61,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,3,56,0,0,19,0,0,0,0,28,0,0,63,0,0,0,29,28,79,0,0,13,1,0,17,19,65,68,81,32,0,30,34,43,0,0,0,21,0,0,0,0,51,0,0,0,0,0,2,0,0,14,61,0,0,0,0,0,0,0,0,56,51,0,0,21,4,44,41,0,0,11,59,0,35,0,10,0,19,0,88,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,56,0,82,45,53,0,18,42,59,55,0,0,0,0,26,48,46,59,23,0,0,65,0,0,7,0,0,0,0,0,0,0,0,0,12,0,64,0,0,43,0,0,59,42,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,71,0,0,0,34,0,0,0,0,0,0,0,4,55,0,0,20,0,0,0,0,31,36,0,68,0,0,0,27,27,74,0,0,9,1,0,16,22,63,59,83,24,0,53,25,36,0,0,0,24,0,0,0,0,0,0,0,0,54,0,1,0,0,20,62,0,0,0,0,0,0,0,0,37,53,29,0,19,4,57,31,0,0,9,0,0,44,0,10,0,13,50,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,55,0,87,43,50,0,18,41,51,38,0,0,0,0,24,59,41,63,24,71,0,59,0,0,13,0,0,0,0,0,0,0,0,0,10,0,0,0,0,38,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,6,49,0,0,18,0,0,0,0,29,0,0,59,0,0,0,30,42,73,0,0,11,1,0,26,25,66,59,83,25,0,43,36,40,0,0,0,35,0,0,0,0,44,0,0,0,0,0,0,0,0,20,61,0,0,0,0,0,0,0,0,68,68,35,0,18,4,53,34,0,0,12,86,0,34,0,12,0,23,34,100,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,62,0,58,46,48,0,19,37,54,54,0,0,0,0,31,58,46,59,10,0,0,66,0,0,11,0,0,0,0,0,0,0,0,0,9,0,31,0,0,52,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,74,0,0,0,0,0,0,0,0,0,0,0,11,48,0,0,18,0,0,0,0,32,48,0,67,0,0,0,29,27,75,0,0,10,1,0,16,23,60,74,82,45,0,53,23,38,0,0,0,36,0,0,0,0,43,0,0,0,0,0,0,0,0,19,65,0,0,0,0,0,0,0,0,79,70,23,0,20,4,56,43,0,0,11,75,0,39,0,9,0,19,41,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-01,45,0,68,47,45,0,12,40,60,30,0,0,0,0,28,63,43,58,18,62,0,59,0,0,11,0,0,0,0,0,0,0,0,0,9,0,31,0,80,29,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,35,0,0,0,0,0,0,0,5,54,0,0,19,0,0,0,0,30,0,0,62,0,0,0,29,19,71,0,0,8,1,0,19,20,58,68,80,0,0,40,35,58,0,0,0,35,0,0,0,0,52,0,0,0,51,54,0,0,72,11,67,0,0,0,0,0,0,0,0,48,66,0,0,0,4,51,42,0,0,14,75,0,32,0,11,0,20,0,0,0,0,0,0,0,0,0,100,0,0,0
2013-11-01,41,0,65,41,44,0,15,37,56,26,0,0,0,0,28,69,38,62,20,65,0,63,0,0,9,0,0,0,0,0,0,0,0,0,9,0,35,17,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,53,0,0,0,0,0,0,0,0,0,0,0,4,56,0,0,18,0,0,0,0,33,34,0,68,0,0,0,31,32,70,0,0,10,1,0,20,22,61,76,80,30,0,53,37,43,0,0,0,31,0,0,0,79,0,0,0,0,49,0,0,0,0,11,65,0,0,0,0,0,0,0,0,37,54,29,0,18,5,52,61,0,0,11,59,0,38,0,14,0,26,51,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-01,43,0,51,39,45,0,13,39,45,44,0,0,0,0,48,57,33,56,24,0,0,56,0,0,0,0,0,0,0,87,0,0,0,0,11,0,0,0,0,36,0,0,52,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,68,0,0,0,0,0,0,0,0,0,0,6,52,0,0,16,0,0,0,0,31,0,0,54,0,0,0,29,0,63,0,0,7,1,0,18,27,61,64,76,29,0,44,22,50,0,0,0,31,0,0,0,0,0,0,0,0,61,0,0,0,0,11,66,0,0,0,0,0,0,0,0,46,71,27,0,0,5,43,34,0,0,12,0,0,27,0,18,0,17,44,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,47,0,64,41,55,0,16,47,54,39,0,0,0,26,39,71,32,60,23,0,0,56,0,0,0,0,0,0,0,0,0,26,0,0,12,0,29,21,0,0,0,0,55,50,0,0,0,0,0,80,0,100,0,57,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,6,56,0,0,17,0,0,0,0,36,33,0,65,0,0,0,30,24,72,0,0,9,1,0,17,26,60,61,81,0,0,67,28,41,0,0,0,41,0,0,0,0,52,0,0,0,0,0,0,0,0,14,73,0,0,0,0,0,0,0,0,51,66,40,0,0,5,50,33,0,0,9,98,0,41,0,18,0,25,52,60,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,41,0,77,48,53,0,20,46,51,52,0,0,0,0,28,57,45,57,33,0,0,55,0,0,8,0,0,0,0,0,0,0,0,0,11,0,56,0,56,35,100,100,43,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,9,49,0,0,18,0,0,0,59,34,0,0,63,0,0,0,28,34,70,0,0,8,1,0,20,26,60,64,85,23,0,48,33,43,0,0,0,39,0,0,0,0,70,0,0,0,0,0,0,100,0,19,64,0,0,0,0,0,0,0,0,82,79,23,0,0,5,45,50,0,0,7,0,0,41,0,15,0,16,0,91,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,35,0,59,42,52,0,20,42,49,57,0,0,0,0,39,59,32,56,19,0,0,50,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,43,69,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,35,0,0,0,0,0,0,0,24,52,0,0,17,0,0,0,0,31,0,0,62,0,0,0,30,27,68,0,0,5,1,0,22,23,61,65,84,33,0,46,39,56,0,0,0,29,0,0,0,0,42,0,0,0,63,0,1,0,0,21,65,0,0,0,0,0,0,0,0,59,69,29,0,0,5,47,40,0,0,10,0,0,42,0,15,0,27,50,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,33,0,51,36,47,0,10,41,44,50,0,0,0,0,35,56,33,58,24,0,0,48,0,0,8,0,0,0,0,63,0,0,0,0,8,0,29,0,0,42,0,0,46,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,35,0,0,0,0,0,0,0,8,53,0,0,15,0,0,0,0,34,0,0,52,0,0,0,29,24,68,0,0,9,1,0,22,24,59,64,77,0,0,44,25,55,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,46,69,18,0,19,4,44,27,0,0,8,0,0,43,0,16,0,22,38,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-01,40,0,67,45,55,0,15,46,49,68,0,0,0,0,25,59,36,58,34,65,52,46,0,0,8,0,0,0,0,0,0,0,0,0,10,0,27,0,0,44,0,0,53,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,32,0,0,0,0,0,0,0,6,58,0,0,16,0,0,0,0,35,0,0,61,0,0,0,31,33,63,0,0,8,1,0,18,24,63,57,83,24,0,52,30,72,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,83,0,10,73,0,0,0,0,0,0,0,0,73,74,21,0,0,4,55,36,0,0,13,57,0,43,0,16,0,17,54,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-01,38,0,71,44,53,0,16,53,47,53,89,0,0,0,29,64,39,55,22,0,0,47,0,0,11,0,0,0,0,0,0,0,0,0,11,0,30,0,0,33,0,0,54,45,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,3,57,0,0,16,0,0,0,0,33,0,0,59,0,0,0,30,30,65,0,0,8,1,0,25,23,63,62,79,24,0,51,31,48,0,0,0,27,0,0,0,0,42,0,0,0,0,47,0,0,0,12,71,0,0,0,0,0,0,0,0,48,77,36,0,0,5,59,33,0,0,10,52,0,45,0,16,0,19,48,0,0,0,0,0,0,0,0,0,0,0,0
