date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2012-01-01,45,0,49,0,18,0,0,42,93,9,18,28,30,78,60,44,47,23,85,45,26,55,26,42,3,64,39,85,0,25,0,0,0,0,0,0,0,36,0,32,27,60,68,82
2012-02-01,43,0,55,0,21,0,0,44,87,14,20,35,37,76,54,40,43,24,79,40,22,78,23,44,3,61,32,77,0,38,0,0,20,0,0,0,0,52,0,36,26,74,61,81
2012-03-01,42,0,49,0,22,0,0,49,74,12,32,29,26,100,55,62,42,20,74,41,28,0,28,44,3,66,38,83,0,29,0,0,0,38,48,0,0,45,0,31,29,79,66,82
2012-04-01,54,0,45,0,19,0,0,54,73,11,15,27,33,74,36,51,52,16,74,46,38,37,28,44,3,62,41,79,0,39,0,0,0,0,0,0,0,60,0,26,22,62,65,78
2012-05-01,48,0,50,0,22,0,0,50,77,10,22,29,32,61,69,0,47,23,72,53,39,53,27,44,4,65,32,81,0,33,0,0,0,0,37,100,0,75,0,29,23,73,93,77
2012-06-01,58,0,53,0,19,0,0,56,70,10,21,28,33,55,77,0,45,23,73,52,40,60,42,43,3,66,28,81,0,41,0,0,0,25,33,0,0,95,0,37,25,66,61,81
2012-07-01,69,0,48,0,18,0,0,51,66,12,0,30,22,49,56,0,50,18,74,62,0,46,18,48,3,58,24,75,0,38,0,0,0,0,36,0,0,92,0,31,10,44,36,70
2012-08-01,51,0,48,0,14,0,0,42,71,11,23,30,23,44,64,0,42,17,72,52,0,32,28,47,2,63,26,76,60,37,0,0,25,0,0,0,0,87,0,31,8,43,37,79
2012-09-01,43,0,49,0,20,0,0,56,78,11,33,32,30,52,35,0,46,24,70,44,34,26,27,49,5,62,18,79,0,38,0,0,0,36,42,0,0,75,0,30,26,72,60,84
2012-10-01,48,0,50,0,22,0,0,57,84,12,29,34,37,48,53,30,46,25,72,39,21,44,24,52,3,64,31,83,0,40,0,0,0,33,62,0,0,70,0,37,26,75,55,87
2012-11-01,49,0,50,0,20,0,0,53,71,10,20,31,30,42,50,47,44,22,71,33,34,58,51,49,3,62,25,79,0,37,0,0,0,0,34,0,0,62,0,28,29,73,69,80
2012-12-01,53,0,48,0,20,0,0,43,67,9,27,31,26,42,41,28,44,19,66,34,21,66,24,47,3,51,23,74,0,32,0,0,0,0,39,0,0,64,0,44,26,68,52,61
2013-01-01,47,0,47,0,19,0,0,47,89,10,15,30,22,36,50,33,46,26,74,45,30,41,23,43,3,64,25,79,0,20,0,0,0,0,53,0,0,55,0,34,23,62,60,82
2013-02-01,46,0,51,58,21,0,0,54,74,14,34,30,24,37,66,38,46,27,75,45,33,49,28,50,5,70,25,75,0,33,0,0,0,27,63,0,0,42,0,40,27,66,57,81
2013-03-01,46,0,54,0,23,0,0,57,76,14,27,29,33,39,50,45,46,20,71,45,26,45,23,51,3,67,27,77,0,32,0,0,20,0,46,0,0,67,0,33,28,72,71,81
2013-04-01,50,0,53,0,22,0,0,53,66,15,26,34,21,40,58,41,45,19,74,46,36,41,32,48,4,68,17,77,0,35,0,0,0,0,62,0,0,65,0,40,23,65,68,74
2013-05-01,53,0,54,0,26,0,0,63,73,15,21,31,24,41,55,44,45,23,75,52,47,36,27,49,2,63,38,76,0,34,0,0,0,28,57,0,0,66,0,33,21,65,89,75
2013-06-01,48,0,50,0,20,0,0,49,62,14,20,33,29,37,53,39,44,22,72,52,51,59,29,45,3,63,22,70,0,36,0,0,0,0,60,0,0,72,0,35,21,64,69,69
2013-07-01,45,0,52,0,15,0,0,48,63,16,0,36,19,33,61,38,45,17,77,60,24,54,21,48,4,61,26,77,0,39,0,0,0,0,37,0,0,70,0,29,8,36,33,69
2013-08-01,46,0,56,0,17,0,0,38,64,15,22,33,15,33,0,42,45,21,81,54,22,31,25,50,5,65,29,76,0,45,0,0,18,0,44,0,0,69,0,34,8,38,35,74
2013-09-01,40,0,60,0,19,0,0,50,76,16,25,32,29,45,56,36,51,28,78,45,36,44,24,49,4,66,28,74,0,39,0,0,0,29,55,0,0,65,0,31,22,55,55,84
2013-10-01,37,0,57,0,22,0,0,60,70,21,27,32,27,43,51,54,59,25,72,38,29,53,38,49,4,65,15,78,44,32,0,0,0,28,50,0,0,60,0,30,27,59,61,78
2013-11-01,43,0,60,0,21,0,0,54,72,18,27,30,36,41,61,0,65,28,72,36,30,42,29,54,5,62,21,79,0,32,0,0,0,21,53,0,0,53,0,27,25,73,63,80
2013-12-01,48,0,59,0,18,0,0,56,66,17,29,35,30,43,38,40,60,23,68,37,28,53,27,47,5,54,0,77,0,39,0,0,0,0,37,0,0,52,0,31,21,63,49,62
2014-01-01,49,0,57,0,24,0,0,58,80,16,20,37,32,39,56,35,68,28,82,50,19,49,24,45,4,71,25,79,0,47,0,0,17,26,56,0,0,47,0,41,23,66,66,86
2014-02-01,45,0,63,0,22,0,0,64,76,18,22,42,38,39,42,40,66,27,81,47,35,51,32,49,5,73,40,77,0,42,0,49,27,25,54,0,0,51,0,33,20,81,60,82
2014-03-01,46,0,59,0,30,0,0,64,79,19,26,54,43,42,57,53,64,26,75,45,39,50,39,46,6,67,27,76,43,38,0,0,44,35,58,0,0,48,0,40,16,76,74,79
2014-04-01,46,0,57,0,24,0,0,55,73,19,27,50,38,43,67,33,66,27,73,53,36,61,44,46,6,64,31,77,76,41,0,0,42,28,83,0,0,59,0,37,12,75,73,71
2014-05-01,47,0,53,47,30,0,0,60,78,21,26,60,77,45,44,94,64,36,75,56,52,86,42,47,8,65,22,80,0,47,0,0,58,35,52,0,0,78,0,41,14,85,99,70
2014-06-01,48,65,50,0,26,0,0,64,77,16,15,60,38,38,58,47,62,30,76,56,55,85,100,43,6,68,28,75,88,42,0,0,54,31,57,56,0,84,0,46,13,63,58,69
2014-07-01,58,0,53,0,21,0,100,51,78,19,27,97,57,43,56,75,53,34,72,62,28,68,74,46,12,63,40,80,55,56,0,0,66,45,63,0,0,100,55,40,4,47,40,64
2014-08-01,55,0,56,0,27,0,0,53,80,21,41,100,91,48,45,85,62,34,78,63,28,60,54,55,12,69,40,78,85,32,0,0,60,34,53,0,0,75,47,42,6,54,40,65
2014-09-01,52,0,56,0,27,0,0,65,89,17,29,75,100,94,56,84,77,42,78,53,48,60,51,46,12,72,32,86,91,43,0,0,86,37,66,0,0,82,44,48,17,91,72,78
2014-10-01,53,0,57,0,30,0,0,67,84,17,31,71,75,46,27,84,75,39,79,41,38,94,49,52,12,71,31,81,82,49,0,0,80,29,60,0,0,77,30,36,17,87,70,77
2014-11-01,80,0,59,0,33,0,0,68,79,18,36,70,82,49,58,69,75,40,78,38,40,71,48,54,11,64,35,79,47,41,0,0,72,44,75,87,0,76,33,46,14,84,75,77
2014-12-01,87,0,63,0,25,73,0,54,67,16,34,74,52,49,80,62,71,31,71,36,38,51,47,47,11,61,30,76,45,36,0,0,64,0,50,0,0,57,0,40,12,70,53,60
2015-01-01,72,0,62,0,26,0,0,70,84,18,34,91,56,39,40,67,75,38,78,44,32,61,53,45,9,73,39,78,92,60,0,0,100,46,75,54,0,61,28,53,14,77,67,79
2015-02-01,61,0,60,0,29,0,0,70,87,18,32,82,86,46,68,39,73,40,80,48,41,100,57,50,8,73,28,80,94,34,0,0,86,54,83,68,0,46,0,50,14,98,74,74
2015-03-01,54,0,61,46,32,0,79,71,89,19,34,89,68,46,66,69,79,43,80,48,43,87,67,45,9,76,37,80,100,51,0,0,82,55,81,55,0,60,0,48,12,94,83,75
2015-04-01,68,0,56,0,36,0,0,73,82,20,30,92,73,49,46,84,70,42,73,52,48,72,85,46,9,73,34,77,72,36,89,0,77,54,74,0,0,77,57,54,13,96,73,65
2015-05-01,69,0,59,0,32,0,0,65,91,21,42,96,89,50,43,69,72,44,74,54,51,49,94,50,9,69,41,76,56,49,0,0,65,50,64,75,0,61,37,43,10,87,100,64
2015-06-01,63,0,57,0,30,0,0,66,82,18,31,100,64,46,63,54,75,37,86,54,53,56,65,46,8,71,30,76,61,58,0,0,72,52,61,69,0,74,37,49,13,79,74,70
2015-07-01,55,0,56,0,22,0,0,51,61,15,15,50,18,43,73,50,63,28,75,65,20,72,26,56,7,66,35,70,0,50,0,0,23,33,40,0,0,96,0,35,6,41,37,63
2015-08-01,60,0,57,0,21,0,0,43,64,16,20,54,15,42,51,34,67,29,71,55,26,45,46,61,8,70,31,68,45,42,0,0,28,25,30,0,0,84,50,31,7,48,37,67
2015-09-01,54,0,65,0,23,0,0,64,74,15,36,48,48,48,56,63,81,35,76,47,32,62,41,51,7,73,36,72,47,43,0,42,35,43,69,0,0,70,0,41,11,85,65,75
2015-10-01,50,0,63,0,29,0,0,73,75,18,33,64,50,48,45,56,82,39,72,43,55,65,48,56,9,73,35,76,56,54,0,0,49,48,58,0,0,65,32,45,11,81,67,71
2015-11-01,50,0,68,0,31,0,0,75,79,16,32,71,54,47,66,62,79,38,68,37,46,77,45,52,8,73,38,77,39,51,91,0,42,33,64,0,0,56,28,48,12,80,69,70
2015-12-01,52,0,76,0,26,0,0,65,67,16,18,65,46,50,69,51,75,33,71,40,46,49,50,52,8,59,23,72,42,53,0,0,54,53,55,0,0,52,0,40,9,76,57,57
2016-01-01,53,0,81,0,26,0,0,71,80,16,43,74,68,44,59,69,74,42,80,50,42,61,54,54,8,71,51,80,96,52,96,44,77,59,60,0,0,51,36,36,10,84,73,72
2016-02-01,55,0,75,0,27,0,0,70,85,19,45,58,60,49,54,63,79,43,69,51,29,68,51,56,11,75,41,81,42,46,0,0,52,24,56,59,0,50,0,51,12,85,68,72
2016-03-01,51,0,80,0,29,0,0,81,91,21,51,67,62,49,45,100,77,44,70,50,39,68,45,51,11,71,41,80,61,61,0,0,65,33,81,0,0,51,0,52,12,95,78,68
2016-04-01,50,0,81,0,28,0,0,65,81,19,44,52,51,48,51,46,70,37,70,54,43,70,43,56,9,72,44,78,0,44,0,0,65,38,35,0,0,60,43,42,8,87,68,66
2016-05-01,48,0,76,0,26,0,0,65,78,17,34,65,69,47,64,56,70,42,68,52,39,69,41,53,8,74,40,77,39,51,96,50,44,47,67,0,0,78,32,44,6,91,88,62
2016-06-01,49,0,79,0,29,0,0,71,78,18,34,77,46,45,34,64,71,41,72,56,52,78,63,51,8,77,36,78,48,48,83,0,54,42,50,0,0,71,31,43,8,84,61,65
2016-07-01,61,0,79,0,20,0,0,53,71,38,21,90,42,41,54,51,54,36,67,66,34,69,50,57,9,69,27,76,50,48,0,0,64,31,47,0,0,82,56,42,3,46,38,56
2016-08-01,50,0,81,0,21,0,0,52,73,32,38,79,38,40,68,67,56,33,81,64,37,55,43,63,9,67,37,75,55,47,0,0,50,55,35,0,0,74,55,43,4,57,36,54
2016-09-01,47,0,75,0,27,0,0,66,80,22,32,53,48,51,94,45,76,39,66,56,39,42,39,54,20,74,37,77,45,46,0,0,36,50,38,0,0,69,42,40,8,84,58,67
2016-10-01,47,0,83,0,28,0,0,64,75,17,40,55,32,46,52,44,79,39,76,48,42,75,33,61,12,72,31,78,0,41,0,0,36,36,51,0,0,56,33,41,10,84,65,64
2016-11-01,49,0,97,0,28,0,0,75,72,15,30,54,39,46,62,46,82,41,73,41,34,52,34,55,10,69,31,78,0,50,0,0,39,35,56,0,0,46,0,56,8,55,29,6
2016-12-01,50,0,86,0,25,0,0,72,66,20,26,48,28,47,38,45,75,34,68,40,28,52,33,54,8,58,32,72,0,51,0,0,20,33,61,0,0,54,0,47,8,47,22,1
2017-01-01,51,0,74,0,25,0,0,68,77,17,34,44,28,42,57,38,78,41,68,54,34,63,32,53,12,70,44,83,0,44,0,42,27,49,32,0,0,47,39,35,9,46,25,0
2017-02-01,49,0,83,0,25,0,0,68,81,17,23,40,37,42,63,52,82,43,73,49,30,55,30,58,12,73,41,72,0,56,0,0,25,30,34,0,0,51,0,32,7,60,25,0
2017-03-01,48,0,73,0,26,0,0,71,77,17,41,43,34,44,69,67,84,41,69,50,46,59,31,54,13,73,50,77,0,56,0,0,15,36,50,47,0,56,36,42,10,66,31,0
2017-04-01,48,0,74,0,26,0,0,67,68,17,25,40,20,46,69,55,74,39,65,54,31,48,30,56,13,71,48,68,0,48,0,0,16,28,63,0,0,66,44,47,7,47,25,0
2017-05-01,47,0,75,0,29,0,0,63,75,16,39,41,22,50,63,33,77,38,71,52,45,40,30,56,12,67,36,74,0,57,0,0,35,35,41,0,0,66,32,33,7,52,35,0
2017-06-01,52,0,68,0,25,0,0,68,70,18,36,46,20,52,50,59,78,41,65,62,41,71,20,54,13,66,51,71,0,54,0,0,16,36,39,0,0,61,29,35,8,43,26,0
2017-07-01,51,0,65,0,20,0,0,53,75,26,23,41,18,48,56,53,65,34,65,73,35,37,19,64,11,65,33,71,0,65,0,0,32,47,46,0,0,73,0,29,5,26,20,0
2017-08-01,55,0,67,0,20,0,0,49,73,22,30,45,18,49,42,43,60,31,66,71,20,53,26,64,11,68,44,68,0,55,0,0,0,35,58,0,0,63,37,40,3,30,20,0
2017-09-01,48,0,67,0,23,0,0,65,75,16,66,43,25,53,69,57,88,41,69,52,36,57,22,57,12,67,36,72,0,41,0,0,13,36,24,0,0,65,40,39,7,50,31,0
2017-10-01,49,0,70,0,26,0,70,74,71,15,37,44,31,50,69,53,84,36,69,45,44,55,21,59,16,72,45,71,0,39,0,0,14,35,60,0,0,54,28,44,10,49,27,0
2017-11-01,50,0,84,39,25,0,0,63,70,15,32,38,24,54,46,76,82,39,68,41,38,57,25,58,15,68,42,71,0,48,0,0,15,51,76,0,0,44,0,40,9,49,29,0
2017-12-01,51,0,74,0,22,0,0,61,62,15,35,39,20,65,46,32,70,33,61,41,36,53,18,56,15,49,27,64,46,47,0,0,14,39,47,0,0,51,0,31,6,51,20,0
2018-01-01,53,0,69,42,24,0,0,70,74,16,33,45,17,62,42,50,79,39,70,53,34,47,21,54,18,65,45,74,0,48,0,0,36,31,80,0,0,38,28,38,9,50,23,0
2018-02-01,55,0,67,0,26,0,0,62,71,20,44,39,25,53,39,46,76,41,71,57,29,68,24,54,19,67,42,71,0,49,0,0,20,36,59,0,0,48,0,41,10,67,22,0
2018-03-01,51,0,69,0,26,0,0,66,71,17,35,36,22,51,52,70,79,44,68,49,25,55,20,57,17,68,38,74,0,53,0,0,0,34,65,0,0,53,32,39,19,88,25,0
2018-04-01,50,0,68,0,24,0,0,62,67,15,28,40,19,49,62,53,74,41,70,55,40,55,37,58,20,71,35,73,0,55,0,0,0,28,49,0,0,54,52,37,14,67,26,0
2018-05-01,53,0,59,39,25,0,0,64,68,16,27,38,24,49,70,46,71,40,67,58,29,52,23,54,19,63,38,77,0,58,0,0,0,36,61,0,0,60,48,50,13,73,35,0
2018-06-01,52,0,59,45,26,0,0,65,67,17,31,39,22,47,67,44,75,40,70,63,32,51,44,58,17,68,45,72,41,52,0,0,0,34,60,0,0,77,34,47,12,0,24,0
2018-07-01,52,0,65,0,19,0,0,54,57,20,28,42,15,45,69,47,55,38,62,79,31,50,31,59,20,63,40,71,0,50,0,0,0,35,34,0,0,80,44,47,8,0,18,0
2018-08-01,59,0,63,0,19,0,0,50,62,23,26,42,15,49,56,34,54,37,62,72,21,49,20,68,23,67,60,70,0,46,0,0,0,36,46,0,0,61,49,56,11,0,17,0
2018-09-01,55,0,58,0,24,0,0,66,73,18,46,40,21,57,48,38,77,45,70,61,33,56,26,58,28,69,46,74,0,66,0,0,12,36,48,0,0,60,32,56,18,0,21,0
2018-10-01,53,0,61,0,25,0,0,69,74,14,33,39,24,54,60,34,73,46,64,49,35,53,25,64,21,75,44,71,38,62,0,37,0,35,58,0,0,71,0,52,22,50,25,0
