date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price
2012-01-01,83,0,25,0,16,0,0,23,30,8,60,46,99,39,0,0,15,9,60,29,0,33,79,25,0,37,0,62,0,28,0,0,0,0,0,0,0,0,0
2012-02-01,79,0,25,0,13,0,0,18,32,9,40,47,53,42,0,26,16,9,70,30,0,45,68,28,0,37,0,59,0,17,0,0,0,0,34,0,0,91,0
2012-03-01,74,0,25,0,13,0,0,25,35,9,42,49,57,44,56,0,14,12,60,35,0,0,68,28,0,36,0,55,0,18,0,0,0,0,0,0,0,0,0
2012-04-01,69,0,24,0,13,0,0,24,31,17,44,42,61,37,0,0,15,8,55,40,0,0,78,29,0,34,0,60,0,15,0,0,0,0,0,0,0,0,0
2012-05-01,64,0,24,0,15,0,0,23,36,16,0,45,82,38,47,33,16,9,56,43,20,37,86,32,0,35,0,49,0,18,100,0,0,0,35,0,0,62,0
2012-06-01,88,0,25,0,10,0,0,19,35,15,45,54,68,40,0,31,16,10,57,45,0,0,97,34,0,35,0,59,0,28,0,0,0,0,0,0,0,0,0
2012-07-01,100,0,24,0,11,0,0,21,35,12,0,56,69,42,0,25,16,8,54,50,0,0,100,45,0,38,0,54,0,20,0,0,0,0,0,0,0,0,0
2012-08-01,87,0,28,0,7,0,0,17,30,13,0,68,52,37,0,0,16,9,50,51,0,0,80,46,0,39,0,59,0,21,0,0,0,0,0,0,0,67,0
2012-09-01,72,0,28,0,7,0,0,15,29,12,0,60,65,37,0,26,17,9,57,43,0,35,76,33,0,41,0,62,0,22,0,0,0,0,0,0,0,67,0
2012-10-01,69,0,22,0,12,0,0,22,28,11,50,62,55,38,0,22,16,11,58,39,20,47,69,30,20,36,0,54,0,0,0,0,0,0,0,0,0,66,0
2012-11-01,62,0,25,0,13,0,0,22,29,11,43,53,88,37,0,21,15,9,57,29,18,40,88,30,0,35,0,48,0,16,0,0,0,0,36,0,0,75,0
2012-12-01,65,0,23,0,14,0,0,27,28,9,34,43,48,37,0,0,16,10,58,27,0,31,72,37,0,36,0,40,0,22,0,0,0,0,0,0,0,0,0
2013-01-01,67,0,23,0,15,0,0,23,29,10,38,45,34,34,0,23,15,9,50,29,0,0,82,26,0,35,19,38,0,15,0,0,0,0,0,0,0,47,0
2013-02-01,61,0,25,0,10,0,0,22,29,14,35,43,59,36,0,26,14,9,51,29,0,52,67,32,0,35,0,41,0,14,0,0,0,0,0,0,0,56,0
2013-03-01,59,0,25,0,14,0,0,25,30,14,31,47,71,33,0,17,14,10,52,35,0,27,59,29,0,34,0,40,0,24,0,0,0,0,27,0,0,54,0
2013-04-01,68,0,26,0,15,0,0,37,33,25,36,50,64,34,0,19,13,10,51,40,19,0,67,32,0,36,0,46,0,24,0,0,0,0,0,0,0,69,0
2013-05-01,58,0,24,0,15,0,0,27,28,22,33,56,60,31,0,0,13,11,53,39,0,0,73,34,0,36,0,46,0,20,0,0,0,0,0,0,0,72,0
2013-06-01,63,0,20,0,10,0,0,19,23,12,0,82,60,30,0,19,13,10,49,41,0,29,81,31,0,30,0,39,0,15,0,0,0,0,0,0,0,0,0
2013-07-01,71,0,23,0,10,0,0,20,26,9,0,60,41,34,0,19,15,11,51,47,0,31,66,54,0,38,0,41,0,11,0,0,0,0,0,0,0,75,0
2013-08-01,64,0,23,0,11,100,0,17,28,11,0,63,30,33,0,22,15,12,74,50,0,0,69,40,19,36,0,42,0,22,0,0,0,0,38,0,0,96,0
2013-09-01,50,0,24,0,11,0,0,21,31,14,0,60,28,36,0,26,16,13,78,42,0,0,64,35,0,39,21,44,0,21,0,0,0,31,0,0,0,87,0
2013-10-01,55,0,27,0,12,0,0,21,29,11,56,57,54,34,0,19,22,9,70,37,0,29,54,31,21,40,0,47,0,19,0,0,0,0,0,0,0,74,0
2013-11-01,50,0,28,0,15,0,100,20,30,13,0,46,54,33,0,19,23,12,60,29,21,26,45,32,0,40,0,45,0,23,0,0,0,0,0,0,0,49,0
2013-12-01,52,0,29,0,15,0,0,23,30,18,25,52,65,36,34,19,22,10,60,25,15,29,46,32,0,34,0,43,0,19,0,0,0,0,27,0,0,42,0
2014-01-01,54,0,24,0,16,0,0,29,33,14,0,46,52,33,0,0,21,11,56,29,21,39,44,28,0,36,0,41,0,29,0,0,0,0,21,0,0,52,0
2014-02-01,55,0,27,0,14,0,0,21,31,17,0,47,47,32,0,38,20,10,64,29,0,0,49,33,20,40,0,47,0,32,0,0,0,0,0,0,0,51,0
2014-03-01,51,0,27,0,18,0,0,19,30,16,0,58,63,31,32,22,22,11,54,31,15,0,40,28,0,37,0,44,0,25,0,0,0,0,0,0,0,45,0
2014-04-01,51,0,29,0,18,0,0,23,33,14,48,52,65,34,41,17,21,15,54,36,14,29,48,32,29,39,0,44,0,29,0,0,57,0,0,0,0,42,0
2014-05-01,58,0,29,0,20,0,0,26,35,24,0,58,55,34,0,30,24,19,66,40,18,27,56,36,32,39,15,45,0,31,0,0,0,21,27,0,0,62,0
2014-06-01,66,0,27,0,17,0,0,24,35,17,34,61,46,31,0,23,22,16,70,45,21,0,63,37,35,39,0,49,0,36,0,0,0,0,0,0,0,64,0
2014-07-01,70,0,31,0,11,0,0,20,34,15,31,67,45,35,0,0,21,15,59,51,0,28,67,62,22,40,0,46,0,29,0,0,0,0,0,0,0,0,0
2014-08-01,61,0,33,0,13,0,0,20,33,15,0,77,33,32,0,0,22,13,60,49,0,0,62,41,40,43,0,46,0,31,0,0,0,0,0,0,0,67,0
2014-09-01,54,0,35,0,14,0,91,22,35,19,32,73,57,35,0,0,23,16,54,42,0,24,48,36,0,40,19,48,0,40,0,0,0,0,29,0,0,66,0
2014-10-01,59,0,38,0,17,0,0,28,36,14,0,74,43,34,0,17,26,18,58,33,24,31,42,32,26,39,16,45,0,24,0,0,0,0,0,0,0,55,0
2014-11-01,57,0,40,57,15,0,0,26,38,13,38,49,57,37,0,23,26,15,59,29,22,38,40,31,0,40,0,47,0,27,0,0,0,0,49,0,0,57,0
2014-12-01,57,0,37,0,16,0,0,29,37,15,0,46,80,38,0,0,27,13,55,24,20,25,37,36,18,39,19,45,0,19,0,0,0,0,22,0,0,50,68
2015-01-01,61,0,38,0,12,0,0,23,37,14,22,47,34,36,0,0,25,14,50,27,15,39,38,29,0,40,0,44,0,29,0,0,0,0,28,0,0,42,0
2015-02-01,51,0,37,0,16,0,0,25,37,15,28,47,57,34,0,30,25,13,51,30,0,30,33,35,0,42,0,44,0,30,0,0,63,0,44,0,0,0,0
2015-03-01,52,0,38,0,18,0,0,26,44,15,56,50,74,34,0,20,27,14,52,33,20,34,33,33,15,43,0,47,0,33,0,0,63,0,44,0,0,49,0
2015-04-01,55,0,29,0,19,0,0,24,38,19,0,51,85,35,0,24,26,16,53,36,17,34,34,35,21,39,0,50,0,41,0,0,51,0,0,0,0,68,0
2015-05-01,72,0,29,0,21,0,0,31,37,20,39,50,64,33,0,20,27,20,50,43,18,21,42,37,21,39,0,46,0,33,0,0,0,0,30,0,0,61,0
2015-06-01,76,0,31,0,14,0,0,21,37,18,24,59,51,38,0,30,25,16,49,43,0,24,47,48,22,39,0,41,0,38,0,0,0,0,24,0,0,67,0
2015-07-01,69,0,36,0,11,0,0,22,38,15,32,80,32,37,0,31,24,18,51,52,0,0,55,53,21,42,15,46,0,40,0,0,74,0,38,0,0,63,0
2015-08-01,61,0,36,0,12,0,0,21,36,16,31,72,34,34,0,16,24,15,48,46,16,0,51,41,18,47,0,46,0,26,0,0,100,23,34,0,0,81,0
2015-09-01,58,0,39,0,9,0,0,19,35,19,33,76,53,36,0,0,27,15,47,41,0,32,37,37,0,41,0,47,0,35,0,0,87,0,0,0,0,0,0
2015-10-01,45,0,37,0,13,0,0,24,32,17,34,54,62,34,0,14,31,15,50,32,16,26,34,33,13,39,0,42,0,39,0,0,83,0,0,0,0,46,0
2015-11-01,47,0,40,0,16,0,0,27,34,10,56,55,81,35,0,19,32,16,54,25,24,27,34,33,15,41,0,47,0,34,0,0,48,0,19,0,0,45,0
2015-12-01,47,0,35,0,17,0,0,33,35,14,31,47,80,36,0,34,32,17,56,28,18,35,33,38,20,39,16,51,0,30,0,50,0,0,35,0,0,37,0
2016-01-01,55,0,38,0,18,0,0,26,40,18,39,41,75,31,0,28,26,15,49,29,14,37,36,28,18,40,0,53,0,29,0,0,0,0,34,0,0,33,0
2016-02-01,48,0,38,0,15,0,0,21,46,18,73,44,68,34,0,38,27,15,50,32,16,30,35,35,33,43,13,65,0,42,0,0,0,25,21,0,0,50,0
2016-03-01,44,0,43,0,20,0,0,30,43,16,94,52,81,33,40,32,30,17,59,35,0,31,32,31,0,45,0,54,0,46,0,0,50,0,22,0,0,46,0
2016-04-01,42,0,42,0,20,0,0,28,43,19,65,41,56,34,0,24,31,18,58,35,0,31,31,38,23,42,21,47,0,32,0,0,0,0,29,0,0,56,0
2016-05-01,46,0,48,0,20,0,0,34,44,13,30,45,97,37,0,18,30,18,56,42,17,35,34,42,18,41,0,50,0,44,83,0,0,0,0,0,0,47,0
2016-06-01,54,0,43,0,15,0,0,24,39,17,43,55,57,35,35,20,27,18,54,44,18,40,42,61,27,41,0,50,0,45,0,0,0,0,30,0,0,36,60
2016-07-01,60,0,38,0,8,0,0,19,36,37,44,100,36,35,0,0,22,17,45,47,100,22,40,42,18,37,0,44,0,52,0,0,0,0,26,0,0,62,0
2016-08-01,58,0,52,0,16,0,0,18,38,22,28,61,38,40,0,15,25,17,48,48,59,21,38,39,50,38,0,46,0,48,0,0,0,0,0,0,0,0,0
2016-09-01,48,0,47,0,10,0,0,18,38,23,0,51,32,41,0,0,27,14,50,45,22,0,29,40,34,40,0,53,0,53,0,0,0,0,26,0,0,69,0
2016-10-01,43,0,42,0,18,0,0,27,41,15,66,50,42,41,0,0,33,19,58,32,22,33,25,37,24,40,0,47,13,29,0,0,0,0,0,79,0,0,0
2016-11-01,42,0,52,0,15,0,0,34,42,16,54,59,67,38,32,27,31,19,65,31,26,0,27,34,16,40,0,57,0,45,0,0,0,0,42,0,0,56,0
2016-12-01,42,0,53,0,18,0,0,26,42,15,62,61,75,42,0,31,29,18,58,25,14,36,28,33,20,37,0,58,12,45,0,0,0,0,30,0,0,37,0
2017-01-01,48,0,53,0,22,0,0,26,43,20,49,51,60,39,37,32,29,25,53,30,0,29,31,29,0,38,0,59,12,56,0,0,0,0,30,0,0,37,0
2017-02-01,46,0,58,0,16,0,0,29,49,16,39,45,69,40,0,32,29,20,60,30,16,35,25,39,15,45,14,67,0,69,0,0,0,0,29,0,0,0,0
2017-03-01,42,0,51,0,23,0,0,35,44,21,48,47,82,39,0,45,32,20,62,36,22,19,26,37,23,42,0,61,0,53,0,0,0,0,0,0,0,0,0
2017-04-01,44,0,41,0,20,0,0,33,50,22,53,52,88,37,0,44,30,23,60,34,17,0,27,41,31,45,0,62,0,52,0,0,0,29,23,0,0,40,0
2017-05-01,45,0,48,0,22,0,0,38,47,18,26,47,63,38,0,32,31,24,49,41,16,0,29,47,0,40,0,57,0,42,0,0,0,0,34,0,0,49,0
2017-06-01,53,0,56,0,14,0,0,24,38,17,42,57,79,40,0,23,28,20,52,48,0,0,42,70,16,39,0,55,0,42,0,0,0,28,27,0,0,76,0
2017-07-01,56,0,62,0,14,0,0,25,46,19,27,60,35,40,0,25,26,23,53,54,0,27,36,54,22,42,0,58,13,44,0,0,0,0,37,0,0,38,0
2017-08-01,58,0,53,0,13,0,0,24,39,23,0,57,48,40,0,24,27,25,56,56,0,34,39,51,27,39,18,55,0,46,0,0,0,0,32,0,0,0,0
2017-09-01,54,0,45,0,14,0,0,23,39,19,0,56,49,42,0,24,30,22,52,40,0,0,30,47,32,38,15,57,0,45,0,0,0,0,0,0,0,0,0
2017-10-01,48,0,42,0,16,0,0,33,42,20,55,50,82,42,0,26,33,24,59,33,18,35,24,41,28,43,0,60,0,53,0,0,0,0,41,0,0,0,0
2017-11-01,42,0,60,0,19,0,0,34,43,14,50,41,65,44,0,33,33,20,60,29,32,36,20,40,27,40,0,66,0,52,0,0,0,0,45,0,0,39,0
2017-12-01,46,0,53,0,19,0,0,33,40,21,37,38,85,51,0,30,34,20,56,27,20,27,24,42,15,38,0,62,0,43,0,0,0,0,32,0,0,0,0
2018-01-01,53,0,43,0,20,0,0,30,41,18,33,53,71,46,30,38,29,21,50,29,13,34,25,37,23,38,0,61,0,50,0,0,0,0,32,0,0,0,0
2018-02-01,49,0,36,0,21,0,0,33,43,21,48,43,53,45,0,34,29,19,51,30,0,36,23,42,13,39,0,61,11,56,0,0,0,0,24,0,0,35,0
2018-03-01,46,0,43,0,23,0,0,39,41,18,48,41,80,44,0,36,32,24,58,32,19,37,26,40,29,40,0,66,12,57,0,0,0,21,18,0,0,47,0
2018-04-01,45,0,43,0,27,0,0,37,45,18,48,44,66,46,0,25,32,30,51,39,20,23,29,47,27,41,0,63,0,49,0,0,0,0,39,0,0,0,0
2018-05-01,50,100,39,0,28,0,0,37,42,21,51,44,75,44,0,28,32,31,54,37,13,32,25,58,25,40,13,64,0,53,0,0,0,20,44,0,0,53,0
2018-06-01,52,0,38,0,17,0,0,27,36,19,26,49,44,43,0,34,26,35,46,46,0,38,32,61,23,39,0,59,17,64,0,0,0,0,25,0,0,0,0
2018-07-01,59,0,46,0,25,0,0,34,41,23,48,53,83,42,0,29,24,30,49,58,25,46,33,57,35,43,0,73,18,60,0,0,68,25,47,0,0,45,0
2018-08-01,56,0,52,63,36,0,0,29,42,23,26,63,45,45,0,31,23,47,50,61,23,31,34,57,41,45,24,79,13,75,0,0,0,43,38,0,0,40,0
2018-09-01,48,0,50,0,28,0,0,28,45,23,35,59,49,50,0,21,27,37,54,54,15,34,26,53,58,52,20,97,0,74,0,0,0,0,36,0,0,36,0
2018-10-01,43,0,42,0,39,0,85,34,57,24,54,52,83,50,41,32,33,37,58,56,49,56,25,49,55,58,34,99,17,71,0,0,72,56,57,0,0,52,0
2018-11-01,44,0,57,0,24,0,0,40,48,20,80,38,83,47,39,36,31,29,63,50,37,46,25,44,60,53,22,93,0,63,0,0,54,54,48,0,0,44,0
